team_name,seed,team_id
Gonzaga,1,1
Georgia St,16,2
Boise St,8,3
Memphis,9,4
Connecticut,5,5
New Mexico St,12,6
Arkansas,4,7
Vermont,13,8
Alabama,6,9
Notre Dame,11,10
Texas Tech,3,11
Montana St,14,12
Michigan St,7,13
Davidson,10,14
Duke,2,15
CS Fullerton,15,16
Baylor,1,17
Norfolk St,16,18
North Carolina,8,19
Marquette,9,20
St Mary's CA,5,21
Indiana,12,22
UCLA,4,23
Akron,13,24
Texas,6,25
Virginia Tech,11,26
Purdue,3,27
Yale,14,28
Murray St,7,29
San Francisco,10,30
Kentucky,2,31
St Peter's,15,32
Arizona,1,33
Wright St,16,34
Seton Hall,8,35
TCU,9,36
Houston,5,37
UAB,12,38
Illinois,4,39
Chattanooga,13,40
Colorado St,6,41
Michigan,11,42
Tennessee,3,43
Longwood,14,44
Ohio St,7,45
Loyola-Chicago,10,46
Villanova,2,47
Delaware,15,48
Kansas,1,49
TX Southern,16,50
San Diego St,8,51
Creighton,9,52
Iowa,5,53
Richmond,12,54
Providence,4,55
S Dakota St,13,56
LSU,6,57
Iowa St,11,58
Wisconsin,3,59
Colgate,14,60
USC,7,61
Miami FL,10,62
Auburn,2,63
Jacksonville St,15,64
